episode,block,version,first_version_in_block,block_started_utc,policy,final_status,report_flag,decision_rule,attempts_consumed,consumed_attempt_ids,research_only_attempt_ids,prefix_categories,indicator,indicator_value,prefix_elapsed_s,indeterminate_reason
etcd5509,9,V_ok,V_ok,2026-09-22T21:34:59.606019Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq49:1821381c27c8,a2:seq50:751e6bfba25a a3:seq51:ec57e612b289,PASS,N,0,0.691,
etcd5509,9,V_ok,V_ok,2026-09-22T21:34:59.606019Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq49:1821381c27c8,a2:seq50:751e6bfba25a a3:seq51:ec57e612b289,PASS,N,0,0.691,
etcd5509,9,V_ok,V_ok,2026-09-22T21:34:59.606019Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq49:1821381c27c8,a2:seq50:751e6bfba25a a3:seq51:ec57e612b289,PASS,N,0,0.691,
etcd5509,10,V_bad,V_bad,2026-09-22T21:37:12.967451Z,P1,BLOCK,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq55:656b803a0ba1,a2:seq56:bdef1bd3d054 a3:seq57:71702f65a56b,FOCAL_DEFECT_WITNESS,S,1,43.494,
etcd5509,10,V_bad,V_bad,2026-09-22T21:37:12.967451Z,P3,BLOCK,,P3: stop at first zero and accept; block after 3 nonzero,3,a1:seq55:656b803a0ba1 a2:seq56:bdef1bd3d054 a3:seq57:71702f65a56b,,FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS,S,1,130.436,
etcd5509,10,V_bad,V_bad,2026-09-22T21:37:12.967451Z,P3-retain,BLOCK,,P3-retain: P3's prefix and decision; accept after a failure is flagged,3,a1:seq55:656b803a0ba1 a2:seq56:bdef1bd3d054 a3:seq57:71702f65a56b,,FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS,S,1,130.436,
etcd5509,10,V_ok,V_bad,2026-09-22T21:39:23.406070Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq58:cffbb41579ad,a2:seq59:2dda1eaf80b6 a3:seq60:10076915575b,PASS,N,0,0.65,
etcd5509,10,V_ok,V_bad,2026-09-22T21:39:23.406070Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq58:cffbb41579ad,a2:seq59:2dda1eaf80b6 a3:seq60:10076915575b,PASS,N,0,0.65,
etcd5509,10,V_ok,V_bad,2026-09-22T21:39:23.406070Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq58:cffbb41579ad,a2:seq59:2dda1eaf80b6 a3:seq60:10076915575b,PASS,N,0,0.65,
etcd5509,11,V_bad,V_ok,2026-09-22T21:42:43.505798Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq64:24b2787662f1,a2:seq65:671a41b5f7ef a3:seq66:a917d05d8999,PASS,S,0,0.716,
etcd5509,11,V_bad,V_ok,2026-09-22T21:42:43.505798Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq64:24b2787662f1,a2:seq65:671a41b5f7ef a3:seq66:a917d05d8999,PASS,S,0,0.716,
etcd5509,11,V_bad,V_ok,2026-09-22T21:42:43.505798Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq64:24b2787662f1,a2:seq65:671a41b5f7ef a3:seq66:a917d05d8999,PASS,S,0,0.716,
etcd5509,11,V_ok,V_ok,2026-09-22T21:42:41.411911Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq61:9cd956b3e9b2,a2:seq62:e69f9e77710a a3:seq63:dc647bca1e94,PASS,N,0,0.778,
etcd5509,11,V_ok,V_ok,2026-09-22T21:42:41.411911Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq61:9cd956b3e9b2,a2:seq62:e69f9e77710a a3:seq63:dc647bca1e94,PASS,N,0,0.778,
etcd5509,11,V_ok,V_ok,2026-09-22T21:42:41.411911Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq61:9cd956b3e9b2,a2:seq62:e69f9e77710a a3:seq63:dc647bca1e94,PASS,N,0,0.778,
etcd5509,12,V_bad,V_bad,2026-09-22T21:44:11.884101Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq67:7b12e18bf3be,a2:seq68:2786b7d2cf70 a3:seq69:ea2c51db6278,PASS,S,0,0.642,
etcd5509,12,V_bad,V_bad,2026-09-22T21:44:11.884101Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq67:7b12e18bf3be,a2:seq68:2786b7d2cf70 a3:seq69:ea2c51db6278,PASS,S,0,0.642,
etcd5509,12,V_bad,V_bad,2026-09-22T21:44:11.884101Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq67:7b12e18bf3be,a2:seq68:2786b7d2cf70 a3:seq69:ea2c51db6278,PASS,S,0,0.642,
etcd5509,12,V_ok,V_bad,2026-09-22T21:45:39.523787Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq70:0a978cd84af3,a2:seq71:7944489266d5 a3:seq72:cd69c0806d09,PASS,N,0,0.699,
etcd5509,12,V_ok,V_bad,2026-09-22T21:45:39.523787Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq70:0a978cd84af3,a2:seq71:7944489266d5 a3:seq72:cd69c0806d09,PASS,N,0,0.699,
etcd5509,12,V_ok,V_bad,2026-09-22T21:45:39.523787Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq70:0a978cd84af3,a2:seq71:7944489266d5 a3:seq72:cd69c0806d09,PASS,N,0,0.699,
etcd5509,13,V_bad,V_bad,2026-09-22T21:45:42.341142Z,P1,BLOCK,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq73:2215574cc07f,a2:seq74:eadaa9d97597 a3:seq75:6447c28e3715,FOCAL_DEFECT_WITNESS,S,1,43.487,
etcd5509,13,V_bad,V_bad,2026-09-22T21:45:42.341142Z,P3,BLOCK,,P3: stop at first zero and accept; block after 3 nonzero,3,a1:seq73:2215574cc07f a2:seq74:eadaa9d97597 a3:seq75:6447c28e3715,,FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS,S,1,130.385,
