subject,block,batch,matched_block_id,profile,variant,policy,final_status,warning,decision_rule,attempts_consumed,consumed_attempt_ids,research_only_attempt_ids,prefix_categories,S,E,M,N,prefix_elapsed_s,prefix_capacity_vcpu_h,indeterminate_reason
etcd5509,5,A,c1v1-etcd5509-b05,L,V_ok,P3,ACCEPT,,"accept on first zero, block after 3 nonzero",1,c1v1-measured-etcd5509-b05-L-ok-a1,c1v1-measured-etcd5509-b05-L-ok-a2 c1v1-measured-etcd5509-b05-L-ok-a3,PASS,,,,0,0.584,0.001776,
etcd5509,5,A,c1v1-etcd5509-b05,L,V_bad,P3-retain,BLOCK,,P3 decision; flag accept after failure,3,c1v1-measured-etcd5509-b05-L-bad-a1 c1v1-measured-etcd5509-b05-L-bad-a2 c1v1-measured-etcd5509-b05-L-bad-a3,,FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS,1,1,0,,126.067,0.07415,
etcd5509,5,A,c1v1-etcd5509-b05,L,V_ok,P3-retain,ACCEPT,,P3 decision; flag accept after failure,1,c1v1-measured-etcd5509-b05-L-ok-a1,c1v1-measured-etcd5509-b05-L-ok-a2 c1v1-measured-etcd5509-b05-L-ok-a3,PASS,,,,0,0.584,0.001776,
etcd5509,6,B,c1v1-etcd5509-b06,R,V_bad,P1,ACCEPT,,first attempt only,1,c1v1-measured-etcd5509-b06-R-bad-a1,c1v1-measured-etcd5509-b06-R-bad-a2 c1v1-measured-etcd5509-b06-R-bad-a3,PASS,0,0,0,,0.605,0.014359,
etcd5509,6,B,c1v1-etcd5509-b06,R,V_ok,P1,ACCEPT,,first attempt only,1,c1v1-measured-etcd5509-b06-R-ok-a1,c1v1-measured-etcd5509-b06-R-ok-a2 c1v1-measured-etcd5509-b06-R-ok-a3,PASS,,,,0,0.519,0.013958,
etcd5509,6,B,c1v1-etcd5509-b06,R,V_bad,P3,ACCEPT,,"accept on first zero, block after 3 nonzero",1,c1v1-measured-etcd5509-b06-R-bad-a1,c1v1-measured-etcd5509-b06-R-bad-a2 c1v1-measured-etcd5509-b06-R-bad-a3,PASS,0,0,0,,0.605,0.014359,
etcd5509,6,B,c1v1-etcd5509-b06,R,V_ok,P3,ACCEPT,,"accept on first zero, block after 3 nonzero",1,c1v1-measured-etcd5509-b06-R-ok-a1,c1v1-measured-etcd5509-b06-R-ok-a2 c1v1-measured-etcd5509-b06-R-ok-a3,PASS,,,,0,0.519,0.013958,
etcd5509,6,B,c1v1-etcd5509-b06,R,V_bad,P3-retain,ACCEPT,,P3 decision; flag accept after failure,1,c1v1-measured-etcd5509-b06-R-bad-a1,c1v1-measured-etcd5509-b06-R-bad-a2 c1v1-measured-etcd5509-b06-R-bad-a3,PASS,0,0,0,,0.605,0.014359,
etcd5509,6,B,c1v1-etcd5509-b06,R,V_ok,P3-retain,ACCEPT,,P3 decision; flag accept after failure,1,c1v1-measured-etcd5509-b06-R-ok-a1,c1v1-measured-etcd5509-b06-R-ok-a2 c1v1-measured-etcd5509-b06-R-ok-a3,PASS,,,,0,0.519,0.013958,
etcd5509,6,B,c1v1-etcd5509-b06,L,V_bad,P1,BLOCK,,first attempt only,1,c1v1-measured-etcd5509-b06-L-bad-a1,c1v1-measured-etcd5509-b06-L-bad-a2 c1v1-measured-etcd5509-b06-L-bad-a3,FOCAL_DEFECT_WITNESS,1,1,0,,44.442,0.026147,
