cycle,partition,k,apfd_hist,apfd_t0,diff
490,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",1,0.990196,0.990196,0.000000
490,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",2,0.970588,0.970588,0.000000
490,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",2,0.980392,0.980392,0.000000
490,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest",2,0.980392,0.980392,0.000000
490,org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest,3,0.970588,0.970588,0.000000
493,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",1,0.578431,0.990196,0.411765
493,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",2,0.568627,0.764706,0.196078
493,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",2,0.568627,0.823529,0.254902
493,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest",2,0.558824,0.823529,0.264706
493,org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest,3,0.558824,0.728758,0.169935
494,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",1,0.990196,0.578431,-0.411765
494,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",2,0.950980,0.558824,-0.392157
494,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",2,0.980392,0.568627,-0.411765
494,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest",2,0.980392,0.568627,-0.411765
494,org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest,3,0.957516,0.558824,-0.398693
495,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",1,0.578431,0.578431,0.000000
495,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",2,0.568627,0.568627,0.000000
495,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",2,0.568627,0.568627,0.000000
495,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest",2,0.558824,0.558824,0.000000
495,org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest,3,0.558824,0.558824,0.000000
